year,day_type,usertype,duration_bin,count,period,bin_start
2022,Weekend,Subscriber,24-26,19134,Post-Pandemic (2022),24
2022,Weekend,Subscriber,26-28,16076,Post-Pandemic (2022),26
2022,Weekend,Subscriber,28-30,13785,Post-Pandemic (2022),28
2022,Weekend,Subscriber,30-32,11540,Post-Pandemic (2022),30
2022,Weekend,Subscriber,32-34,9814,Post-Pandemic (2022),32
2022,Weekend,Subscriber,34-36,8326,Post-Pandemic (2022),34
2022,Weekend,Subscriber,36-38,7271,Post-Pandemic (2022),36
2022,Weekend,Subscriber,38-40,6267,Post-Pandemic (2022),38
2022,Weekend,Subscriber,40-42,5443,Post-Pandemic (2022),40
2022,Weekend,Subscriber,42-44,4611,Post-Pandemic (2022),42
2022,Weekend,Subscriber,44-46,3191,Post-Pandemic (2022),44
2022,Weekend,Subscriber,46-48,2078,Post-Pandemic (2022),46
2022,Weekend,Subscriber,48-50,1587,Post-Pandemic (2022),48
2022,Weekend,Subscriber,50-52,1309,Post-Pandemic (2022),50
2022,Weekend,Subscriber,52-54,1112,Post-Pandemic (2022),52
2022,Weekend,Subscriber,54-56,887,Post-Pandemic (2022),54
2022,Weekend,Subscriber,56-58,844,Post-Pandemic (2022),56
2022,Weekend,Subscriber,58-60,659,Post-Pandemic (2022),58
2023,Weekday,Customer,0-2,1539,Post-Pandemic (2023),0
2023,Weekday,Customer,2-4,9898,Post-Pandemic (2023),2
2023,Weekday,Customer,4-6,29561,Post-Pandemic (2023),4
2023,Weekday,Customer,6-8,45079,Post-Pandemic (2023),6
2023,Weekday,Customer,8-10,51245,Post-Pandemic (2023),8
2023,Weekday,Customer,10-12,51157,Post-Pandemic (2023),10
2023,Weekday,Customer,12-14,48350,Post-Pandemic (2023),12
2023,Weekday,Customer,14-16,44193,Post-Pandemic (2023),14
2023,Weekday,Customer,16-18,39689,Post-Pandemic (2023),16
2023,Weekday,Customer,18-20,35395,Post-Pandemic (2023),18
2023,Weekday,Customer,20-22,31371,Post-Pandemic (2023),20
2023,Weekday,Customer,22-24,27162,Post-Pandemic (2023),22
2023,Weekday,Customer,24-26,24239,Post-Pandemic (2023),24
2023,Weekday,Customer,26-28,21609,Post-Pandemic (2023),26
2023,Weekday,Customer,28-30,18821,Post-Pandemic (2023),28
2023,Weekday,Customer,30-32,14348,Post-Pandemic (2023),30
2023,Weekday,Customer,32-34,11358,Post-Pandemic (2023),32
2023,Weekday,Customer,34-36,9357,Post-Pandemic (2023),34
2023,Weekday,Customer,36-38,7804,Post-Pandemic (2023),36
2023,Weekday,Customer,38-40,6777,Post-Pandemic (2023),38
2023,Weekday,Customer,40-42,5990,Post-Pandemic (2023),40
2023,Weekday,Customer,42-44,5466,Post-Pandemic (2023),42
2023,Weekday,Customer,44-46,4734,Post-Pandemic (2023),44
2023,Weekday,Customer,46-48,4202,Post-Pandemic (2023),46
2023,Weekday,Customer,48-50,3672,Post-Pandemic (2023),48
2023,Weekday,Customer,50-52,3424,Post-Pandemic (2023),50
2023,Weekday,Customer,52-54,3073,Post-Pandemic (2023),52
2023,Weekday,Customer,54-56,3005,Post-Pandemic (2023),54
2023,Weekday,Customer,56-58,2700,Post-Pandemic (2023),56
2023,Weekday,Customer,58-60,2594,Post-Pandemic (2023),58
2023,Weekday,Subscriber,0-2,18630,Post-Pandemic (2023),0
